compiler,program,opt,flag_id,sweep,is_warmup,wall_s,user_s,sys_s,max_rss_kb,exit_code,term_signal,output_ok,epoch_s
g++,final,-O1,stack_protector,0,1,0.092208,0.092125,0.0,1680,0,,1,1783529769
g++,final,-O1,stack_protector_strong,0,1,0.092228,0.092145,0.0,1560,0,,1,1783529769
g++,final,-O1,stack_protector_all,0,1,0.089232,0.085279,0.003876,1468,0,,1,1783529769
g++,final,-O1,no_plt,0,1,0.086396,0.086326,0.0,1640,0,,1,1783529769
g++,final,-O1,asan,0,1,0.423245,0.404983,0.018118,13428,0,,1,1783529769
g++,final,-O1,ubsan,0,1,0.093585,0.093471,0.0,3952,0,,1,1783529769
g++,final,-O2,baseline,0,1,0.092317,0.092239,0.0,1640,0,,1,1783529769
g++,final,-O2,pie,0,1,0.089289,0.089206,0.0,1524,0,,1,1783529770
g++,final,-O2,no_pie,0,1,0.092515,0.092438,0.0,1396,0,,1,1783529770
g++,final,-O2,fortify1,0,1,0.069287,0.069202,0.0,1604,0,,1,1783529770
g++,final,-O2,fortify2,0,1,0.069132,0.069058,0.0,1528,0,,1,1783529770
g++,final,-O2,fortify_off,0,1,0.092266,0.092178,0.0,1572,0,,1,1783529770
g++,final,-O2,noexecstack,0,1,0.089357,0.085388,0.003881,1572,0,,1,1783529770
g++,final,-O2,execstack,0,1,0.089316,0.089236,0.0,1536,0,,1,1783529770
g++,final,-O2,relro_full,0,1,0.092193,0.092118,0.0,1468,0,,1,1783529770
g++,final,-O2,no_stack_protector,0,1,0.089555,0.089466,0.0,1676,0,,1,1783529770
g++,final,-O2,stack_protector,0,1,0.092213,0.092135,0.0,1568,0,,1,1783529770
g++,final,-O2,stack_protector_strong,0,1,0.092123,0.092046,0.0,1456,0,,1,1783529770
g++,final,-O2,stack_protector_all,0,1,0.091677,0.091595,0.0,1676,0,,1,1783529770
g++,final,-O2,no_plt,0,1,0.09834,0.098257,0.0,1604,0,,1,1783529771
g++,final,-O2,asan,0,1,0.427837,0.415755,0.011932,13244,0,,1,1783529771
g++,final,-O2,ubsan,0,1,0.093011,0.092907,0.0,3740,0,,1,1783529771
