compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
clang++,suma,-O2,fortify1,-D_FORTIFY_SOURCE=1,clang++ /app/programs/suma.cpp -O2 -D_FORTIFY_SOURCE=1 -o results_csv/20260711-061031/bin/clang++__suma__O2__fortify1,1,2.435,0.327,0.034,117404,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,fortify2,-D_FORTIFY_SOURCE=2,clang++ /app/programs/suma.cpp -O2 -D_FORTIFY_SOURCE=2 -o results_csv/20260711-061031/bin/clang++__suma__O2__fortify2,1,2.379,0.314,0.049,116548,16456,14616,partial,no,yes,yes,1,1,d00d526ce3054527be92811650ca96d7407bec091309213b8d7a4c7484238990,
clang++,suma,-O2,fortify_off,-D_FORTIFY_SOURCE=0,clang++ /app/programs/suma.cpp -O2 -D_FORTIFY_SOURCE=0 -o results_csv/20260711-061031/bin/clang++__suma__O2__fortify_off,1,2.284,0.33,0.025,117244,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,noexecstack,-z noexecstack,clang++ /app/programs/suma.cpp -O2 -z noexecstack -o results_csv/20260711-061031/bin/clang++__suma__O2__noexecstack,1,2.322,0.308,0.046,117184,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,execstack,"-Wl,-z,execstack","clang++ /app/programs/suma.cpp -O2 -Wl,-z,execstack -o results_csv/20260711-061031/bin/clang++__suma__O2__execstack",1,2.347,0.303,0.055,116176,16096,14520,partial,no,no,yes,0,1,ab664c929b1cde2641363c3860e952833e13c7482001e9a2b202156b24035c50,
clang++,suma,-O2,relro_full,"-Wl,-z,relro,-z,now","clang++ /app/programs/suma.cpp -O2 -Wl,-z,relro,-z,now -o results_csv/20260711-061031/bin/clang++__suma__O2__relro_full",1,2.35,0.317,0.039,116592,16000,14424,full,no,yes,yes,0,1,c9bc5853bcc6de5e478e94831ac8f4edfc9040b978b4f5e9e6525f878f94073f,
clang++,suma,-O2,no_stack_protector,-fno-stack-protector,clang++ /app/programs/suma.cpp -O2 -fno-stack-protector -o results_csv/20260711-061031/bin/clang++__suma__O2__no_stack_protector,1,2.355,0.311,0.046,117164,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,stack_protector,-fstack-protector,clang++ /app/programs/suma.cpp -O2 -fstack-protector -o results_csv/20260711-061031/bin/clang++__suma__O2__stack_protector,1,2.273,0.31,0.047,116712,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,stack_protector_strong,-fstack-protector-strong,clang++ /app/programs/suma.cpp -O2 -fstack-protector-strong -o results_csv/20260711-061031/bin/clang++__suma__O2__stack_protector_strong,1,2.267,0.298,0.058,117240,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O2,stack_protector_all,-fstack-protector-all,clang++ /app/programs/suma.cpp -O2 -fstack-protector-all -o results_csv/20260711-061031/bin/clang++__suma__O2__stack_protector_all,1,2.255,0.323,0.035,116404,16160,14528,partial,yes,yes,yes,0,1,80400d572e0af0f66fec71c5d4792d78465831c6dc9c76fc7dce054136e89a71,
clang++,suma,-O2,no_plt,-fno-plt,clang++ /app/programs/suma.cpp -O2 -fno-plt -o results_csv/20260711-061031/bin/clang++__suma__O2__no_plt,1,2.3,0.314,0.041,117168,16000,14424,partial,no,yes,yes,0,1,4e473e69e7b21583196a4dee064d57af943d58a877650c35b3670d04c9c11d2d,
clang++,suma,-O2,asan,-fsanitize=address,clang++ /app/programs/suma.cpp -O2 -fsanitize=address -o results_csv/20260711-061031/bin/clang++__suma__O2__asan,1,3.866,0.514,0.059,117720,1700128,1361232,partial,no,yes,yes,8,54,c9f4ce208293cb322341a65415cc81e735a2ec756b686d6746863747e5838912,
clang++,suma,-O2,ubsan,-fsanitize=undefined,clang++ /app/programs/suma.cpp -O2 -fsanitize=undefined -o results_csv/20260711-061031/bin/clang++__suma__O2__ubsan,1,3.235,0.418,0.058,116696,426056,308744,partial,no,yes,yes,3,4,a042b9e4cb3046c5b1f3aceca83f5978c9413c8cb346943548e7bd55a1b0bb1c,
clang++,suma,-O2,msan,-fsanitize=memory,clang++ /app/programs/suma.cpp -O2 -fsanitize=memory -o results_csv/20260711-061031/bin/clang++__suma__O2__msan,1,3.556,0.493,0.053,115876,1400896,1074184,partial,no,yes,yes,7,65,e59e66bbfb44e8f55dcd8bfa5f334842d514e9edd01cef4828046ffce94db3ff,
clang++,suma,-O2,safe_stack,-fsanitize=safe-stack,clang++ /app/programs/suma.cpp -O2 -fsanitize=safe-stack -o results_csv/20260711-061031/bin/clang++__suma__O2__safe_stack,1,2.408,0.323,0.034,115880,23256,18944,partial,no,yes,yes,1,5,568593c85d72b2053286b1a9ff0e9e7d95e24f602d4e5e77d2ebb960ab1d7582,
clang++,suma,-O2,lto,-flto,clang++ /app/programs/suma.cpp -O2 -flto -o results_csv/20260711-061031/bin/clang++__suma__O2__lto,1,2.588,0.338,0.055,112392,16064,14520,partial,no,yes,yes,0,1,c25e1ce345392effa351e255c5777fd3d76e5125a55d948d32af6422b64ebb04,
clang++,suma,-O2,hardening_baseline,"-fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie","clang++ /app/programs/suma.cpp -O2 -fstack-protector-strong -D_FORTIFY_SOURCE=2 -Wl,-z,relro,-z,now -z noexecstack -fPIE -pie -o results_csv/20260711-061031/bin/clang++__suma__O2__hardening_baseline",1,2.33,0.312,0.054,117276,16408,14512,full,yes,yes,yes,1,1,e52de7adea1f9cb23fdcf0c0bda889d3690fcfdb311ee342170d80cb2fb569b4,
clang++,suma,-O3,baseline,,clang++ /app/programs/suma.cpp -O3 -o results_csv/20260711-061031/bin/clang++__suma__O3__baseline,1,2.279,0.315,0.044,116424,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,pie,-fPIE -pie,clang++ /app/programs/suma.cpp -O3 -fPIE -pie -o results_csv/20260711-061031/bin/clang++__suma__O3__pie,1,2.401,0.298,0.058,116404,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,no_pie,-no-pie,clang++ /app/programs/suma.cpp -O3 -no-pie -o results_csv/20260711-061031/bin/clang++__suma__O3__no_pie,1,2.328,0.312,0.042,116708,15928,14448,partial,no,yes,no,0,1,8e0963807ef6ca71f5ba72fe1e148e1549ce9e0fd75d546645c846b2965c70c3,
clang++,suma,-O3,fortify1,-D_FORTIFY_SOURCE=1,clang++ /app/programs/suma.cpp -O3 -D_FORTIFY_SOURCE=1 -o results_csv/20260711-061031/bin/clang++__suma__O3__fortify1,1,2.376,0.306,0.053,117476,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,fortify2,-D_FORTIFY_SOURCE=2,clang++ /app/programs/suma.cpp -O3 -D_FORTIFY_SOURCE=2 -o results_csv/20260711-061031/bin/clang++__suma__O3__fortify2,1,2.424,0.324,0.044,116412,16456,14616,partial,no,yes,yes,1,1,d00d526ce3054527be92811650ca96d7407bec091309213b8d7a4c7484238990,
clang++,suma,-O3,fortify_off,-D_FORTIFY_SOURCE=0,clang++ /app/programs/suma.cpp -O3 -D_FORTIFY_SOURCE=0 -o results_csv/20260711-061031/bin/clang++__suma__O3__fortify_off,1,2.346,0.33,0.028,117168,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,noexecstack,-z noexecstack,clang++ /app/programs/suma.cpp -O3 -z noexecstack -o results_csv/20260711-061031/bin/clang++__suma__O3__noexecstack,1,2.305,0.331,0.027,116396,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,execstack,"-Wl,-z,execstack","clang++ /app/programs/suma.cpp -O3 -Wl,-z,execstack -o results_csv/20260711-061031/bin/clang++__suma__O3__execstack",1,2.358,0.311,0.046,117228,16096,14520,partial,no,no,yes,0,1,ab664c929b1cde2641363c3860e952833e13c7482001e9a2b202156b24035c50,
clang++,suma,-O3,relro_full,"-Wl,-z,relro,-z,now","clang++ /app/programs/suma.cpp -O3 -Wl,-z,relro,-z,now -o results_csv/20260711-061031/bin/clang++__suma__O3__relro_full",1,2.359,0.307,0.05,116332,16000,14424,full,no,yes,yes,0,1,c9bc5853bcc6de5e478e94831ac8f4edfc9040b978b4f5e9e6525f878f94073f,
clang++,suma,-O3,no_stack_protector,-fno-stack-protector,clang++ /app/programs/suma.cpp -O3 -fno-stack-protector -o results_csv/20260711-061031/bin/clang++__suma__O3__no_stack_protector,1,2.331,0.313,0.044,116400,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,stack_protector,-fstack-protector,clang++ /app/programs/suma.cpp -O3 -fstack-protector -o results_csv/20260711-061031/bin/clang++__suma__O3__stack_protector,1,2.232,0.309,0.047,115892,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,stack_protector_strong,-fstack-protector-strong,clang++ /app/programs/suma.cpp -O3 -fstack-protector-strong -o results_csv/20260711-061031/bin/clang++__suma__O3__stack_protector_strong,1,2.242,0.312,0.045,116384,16096,14520,partial,no,yes,yes,0,1,e3b38e562c5a4c124e52f25d6028f8f6f2b9fb3a9dac7e151996c2e623252c64,
clang++,suma,-O3,stack_protector_all,-fstack-protector-all,clang++ /app/programs/suma.cpp -O3 -fstack-protector-all -o results_csv/20260711-061031/bin/clang++__suma__O3__stack_protector_all,1,2.242,0.291,0.066,116588,16160,14528,partial,yes,yes,yes,0,1,80400d572e0af0f66fec71c5d4792d78465831c6dc9c76fc7dce054136e89a71,
