compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
g++,final,-O0,ubsan,50,261.212,261.197,261.228,3936,3892,3948,1.0201,1.0197,1.0204
g++,final,-O1,asan,50,1169.432,1168.210,1171.086,9856,9716,9906,4.6509,4.6463,4.6575
g++,final,-O1,baseline,50,251.443,251.429,251.450,1604,1568,1642,,,
g++,final,-O1,execstack,50,251.446,251.434,251.459,1576,1568,1640,1.0000,1.0000,1.0001
g++,final,-O1,fortify1,50,433.649,433.328,433.875,1572,1568,1646,1.7246,1.7234,1.7255
g++,final,-O1,fortify2,50,433.664,433.333,434.004,1600,1568,1626,1.7247,1.7234,1.7261
g++,final,-O1,fortify_off,50,251.469,251.451,251.478,1620,1572,1644,1.0001,1.0000,1.0002
g++,final,-O1,hardening_baseline,50,435.302,434.828,435.639,1614,1568,1648,1.7312,1.7293,1.7326
g++,final,-O1,no_pie,50,251.447,251.435,251.455,1572,1552,1584,1.0000,1.0000,1.0001
g++,final,-O1,no_plt,50,249.226,249.139,249.238,1564,1536,1606,0.9912,0.9909,0.9913
g++,final,-O1,no_stack_protector,50,251.464,251.451,251.473,1622,1568,1634,1.0001,1.0000,1.0001
g++,final,-O1,noexecstack,50,251.454,251.447,251.466,1572,1560,1642,1.0000,1.0000,1.0001
g++,final,-O1,pie,50,251.451,251.441,251.462,1588,1562,1644,1.0000,1.0000,1.0001
g++,final,-O1,relro_full,50,251.454,251.438,251.464,1620,1568,1658,1.0000,1.0000,1.0001
g++,final,-O1,stack_protector,50,251.453,251.445,251.462,1576,1562,1620,1.0000,1.0000,1.0001
g++,final,-O1,stack_protector_all,50,251.450,251.437,251.463,1602,1568,1648,1.0000,1.0000,1.0001
g++,final,-O1,stack_protector_strong,50,251.443,251.435,251.450,1602,1564,1636,1.0000,1.0000,1.0001
g++,final,-O1,ubsan,50,255.289,255.282,255.299,3950,3936,3968,1.0153,1.0153,1.0154
g++,final,-O2,asan,50,1165.204,1164.226,1167.983,9808,9758,9864,4.6890,4.6849,4.7001
g++,final,-O2,baseline,50,248.497,248.490,248.515,1572,1564,1622,,,
g++,final,-O2,execstack,50,248.500,248.490,248.509,1608,1568,1648,1.0000,0.9999,1.0001
g++,final,-O2,fortify1,50,430.727,430.356,431.007,1604,1572,1624,1.7333,1.7318,1.7345
g++,final,-O2,fortify2,50,430.589,430.430,430.754,1572,1564,1632,1.7328,1.7321,1.7333
g++,final,-O2,fortify_off,50,248.505,248.497,248.512,1606,1570,1644,1.0000,1.0000,1.0001
g++,final,-O2,hardening_baseline,50,430.432,430.298,430.992,1622,1552,1644,1.7321,1.7315,1.7344
g++,final,-O2,no_pie,50,248.488,248.476,248.507,1564,1512,1576,1.0000,0.9999,1.0000
g++,final,-O2,no_plt,50,246.487,246.468,246.500,1612,1564,1644,0.9919,0.9918,0.9920
g++,final,-O2,no_stack_protector,50,248.503,248.491,248.514,1610,1572,1642,1.0000,0.9999,1.0001
g++,final,-O2,noexecstack,50,248.500,248.485,248.507,1574,1562,1624,1.0000,0.9999,1.0000
g++,final,-O2,pie,50,248.500,248.491,248.511,1624,1564,1672,1.0000,0.9999,1.0001
g++,final,-O2,relro_full,50,248.502,248.487,248.509,1568,1564,1628,1.0000,0.9999,1.0001
g++,final,-O2,stack_protector,50,248.506,248.497,248.519,1644,1614,1648,1.0000,1.0000,1.0001
g++,final,-O2,stack_protector_all,50,248.502,248.492,248.515,1604,1556,1646,1.0000,0.9999,1.0001
g++,final,-O2,stack_protector_strong,50,248.504,248.493,248.513,1604,1568,1634,1.0000,0.9999,1.0001
g++,final,-O2,ubsan,50,252.340,252.331,252.351,3952,3940,3978,1.0155,1.0154,1.0155
g++,final,-O3,asan,50,1167.134,1165.074,1170.214,9936,9868,11884,4.6969,4.6885,4.7092
g++,final,-O3,baseline,50,248.493,248.486,248.498,1572,1552,1604,,,
g++,final,-O3,execstack,50,248.498,248.492,248.505,1634,1568,1656,1.0000,1.0000,1.0001
g++,final,-O3,fortify1,50,430.777,430.577,431.084,1574,1564,1632,1.7336,1.7328,1.7348
g++,final,-O3,fortify2,50,430.933,430.526,431.151,1622,1570,1648,1.7342,1.7326,1.7351
g++,final,-O3,fortify_off,50,248.497,248.483,248.508,1568,1560,1602,1.0000,1.0000,1.0001
g++,final,-O3,hardening_baseline,50,430.447,429.990,430.822,1614,1568,1650,1.7322,1.7304,1.7338
g++,final,-O3,no_pie,50,248.500,248.489,248.513,1568,1562,1594,1.0000,1.0000,1.0001
g++,final,-O3,no_plt,50,246.488,246.479,246.512,1640,1590,1660,0.9919,0.9919,0.9920
g++,final,-O3,no_stack_protector,50,248.512,248.505,248.522,1620,1568,1644,1.0001,1.0000,1.0001
g++,final,-O3,noexecstack,50,248.503,248.495,248.516,1588,1552,1644,1.0000,1.0000,1.0001
g++,final,-O3,pie,50,248.502,248.491,248.510,1570,1564,1624,1.0000,1.0000,1.0001
