compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
clang++,final,-Os,hardening_baseline,50,438.587,438.094,438.991,3784,3752,3808,1.7186,1.7167,1.7202
clang++,final,-Os,lto,50,255.194,255.182,255.201,3804,3752,3816,1.0000,0.9999,1.0000
clang++,final,-Os,msan,50,1440.649,1439.973,1440.890,6602,6548,6652,5.6452,5.6425,5.6462
clang++,final,-Os,no_pie,50,252.239,252.229,252.252,3792,3764,3812,0.9884,0.9884,0.9885
clang++,final,-Os,no_plt,50,216.832,216.823,216.845,3766,3752,3808,0.8497,0.8496,0.8497
clang++,final,-Os,no_stack_protector,50,255.187,255.177,255.196,3758,3748,3804,1.0000,0.9999,1.0000
clang++,final,-Os,noexecstack,50,255.185,255.173,255.196,3770,3752,3804,0.9999,0.9999,1.0000
clang++,final,-Os,pie,50,255.182,255.175,255.200,3768,3752,3808,0.9999,0.9999,1.0000
clang++,final,-Os,relro_full,50,255.199,255.191,255.203,3796,3752,3812,1.0000,1.0000,1.0000
clang++,final,-Os,safe_stack,50,255.301,255.288,255.317,3896,3838,3900,1.0004,1.0003,1.0005
clang++,final,-Os,stack_protector,50,252.240,252.227,252.256,3804,3766,3808,0.9884,0.9883,0.9885
clang++,final,-Os,stack_protector_all,50,252.249,252.238,252.257,3812,3804,3872,0.9884,0.9884,0.9885
clang++,final,-Os,stack_protector_strong,50,252.240,252.231,252.251,3810,3772,3824,0.9884,0.9884,0.9885
clang++,final,-Os,ubsan,50,252.507,252.492,252.549,4136,4132,4192,0.9895,0.9894,0.9896
clang++,final,-Oz,asan,50,752.460,752.113,752.970,7782,7732,7854,2.9830,2.9816,2.9851
clang++,final,-Oz,baseline,50,252.247,252.235,252.260,3808,3804,3832,,,
clang++,final,-Oz,execstack,50,252.236,252.223,252.252,3808,3762,3812,1.0000,0.9999,1.0000
clang++,final,-Oz,fortify1,50,437.505,437.202,437.828,3810,3764,3846,1.7344,1.7333,1.7357
clang++,final,-Oz,fortify2,50,437.381,437.071,437.745,3764,3750,3808,1.7339,1.7327,1.7354
clang++,final,-Oz,fortify_off,50,252.245,252.226,252.258,3808,3766,3812,1.0000,0.9999,1.0001
clang++,final,-Oz,hardening_baseline,50,434.490,434.071,434.887,3760,3752,3804,1.7225,1.7208,1.7240
clang++,final,-Oz,lto,50,252.239,252.231,252.255,3760,3752,3804,1.0000,0.9999,1.0000
clang++,final,-Oz,msan,50,1442.640,1442.173,1443.185,6612,6600,6698,5.7192,5.7172,5.7214
clang++,final,-Oz,no_pie,50,255.181,255.171,255.197,3792,3760,3808,1.0116,1.0116,1.0117
clang++,final,-Oz,no_plt,50,213.891,213.883,213.897,3762,3752,3810,0.8479,0.8479,0.8480
clang++,final,-Oz,no_stack_protector,50,252.241,252.234,252.253,3788,3752,3828,1.0000,0.9999,1.0000
clang++,final,-Oz,noexecstack,50,252.236,252.223,252.250,3802,3752,3808,1.0000,0.9999,1.0000
clang++,final,-Oz,pie,50,252.243,252.226,252.252,3802,3760,3808,1.0000,0.9999,1.0000
clang++,final,-Oz,relro_full,50,252.250,252.237,252.262,3804,3752,3812,1.0000,0.9999,1.0001
clang++,final,-Oz,safe_stack,50,249.391,249.379,249.407,3886,3836,3900,0.9887,0.9886,0.9888
clang++,final,-Oz,stack_protector,50,258.142,258.135,258.147,3808,3764,3814,1.0234,1.0233,1.0234
clang++,final,-Oz,stack_protector_all,50,258.147,258.139,258.156,3808,3764,3820,1.0234,1.0233,1.0234
clang++,final,-Oz,stack_protector_strong,50,258.134,258.126,258.150,3780,3752,3812,1.0233,1.0233,1.0234
clang++,final,-Oz,ubsan,50,255.445,255.436,255.472,4142,4132,4194,1.0127,1.0126,1.0128
clang++,startup,-O0,asan,50,19.711,19.490,19.852,7644,7628,7688,14.9439,14.7325,15.0481
clang++,startup,-O0,baseline,50,1.319,1.317,1.323,3596,3572,3612,,,
clang++,startup,-O0,execstack,50,1.206,1.204,1.211,3576,3572,3584,0.9147,0.9115,0.9184
clang++,startup,-O0,fortify1,50,1.208,1.205,1.212,3594,3580,3632,0.9158,0.9123,0.9196
clang++,startup,-O0,fortify2,50,1.207,1.204,1.211,3580,3574,3596,0.9151,0.9116,0.9184
clang++,startup,-O0,fortify_off,50,1.208,1.202,1.214,3578,3572,3592,0.9158,0.9107,0.9212
clang++,startup,-O0,hardening_baseline,50,1.212,1.205,1.218,3600,3584,3636,0.9189,0.9126,0.9231
clang++,startup,-O0,lto,50,1.218,1.214,1.225,3592,3572,3596,0.9230,0.9191,0.9292
clang++,startup,-O0,msan,50,5.535,5.510,5.609,6480,6456,6540,4.1964,4.1740,4.2528
clang++,startup,-O0,no_pie,50,1.208,1.205,1.210,3594,3580,3604,0.9155,0.9122,0.9180
clang++,startup,-O0,no_plt,50,1.205,1.201,1.211,3600,3592,3636,0.9136,0.9096,0.9184
clang++,startup,-O0,no_stack_protector,50,1.211,1.207,1.216,3584,3578,3624,0.9177,0.9138,0.9216
clang++,startup,-O0,noexecstack,50,1.206,1.204,1.210,3586,3572,3600,0.9143,0.9115,0.9176
clang++,startup,-O0,pie,50,1.220,1.217,1.224,3600,3590,3624,0.9249,0.9217,0.9283
clang++,startup,-O0,relro_full,50,1.207,1.201,1.210,3590,3574,3596,0.9151,0.9102,0.9180
clang++,startup,-O0,safe_stack,50,1.349,1.338,1.357,3660,3638,3678,1.0224,1.0140,1.0281
clang++,startup,-O0,stack_protector,50,1.206,1.203,1.211,3594,3584,3604,0.9147,0.9107,0.9188
clang++,startup,-O0,stack_protector_all,50,1.212,1.208,1.219,3584,3574,3604,0.9185,0.9145,0.9246
clang++,startup,-O0,stack_protector_strong,50,1.211,1.205,1.215,3596,3580,3616,0.9181,0.9123,0.9218
clang++,startup,-O0,ubsan,50,1.524,1.511,1.538,3964,3956,3986,1.1550,1.1444,1.1669
clang++,startup,-O1,asan,50,19.773,19.547,19.938,7682,7640,7720,16.3346,16.1178,16.4768
clang++,startup,-O1,baseline,50,1.211,1.206,1.218,3586,3572,3600,,,
clang++,startup,-O1,execstack,50,1.208,1.204,1.211,3588,3580,3596,0.9975,0.9906,1.0021
clang++,startup,-O1,fortify1,50,1.209,1.205,1.215,3580,3576,3596,0.9988,0.9918,1.0041
clang++,startup,-O1,fortify2,50,1.212,1.207,1.219,3584,3576,3600,1.0008,0.9934,1.0083
clang++,startup,-O1,fortify_off,50,1.209,1.205,1.215,3580,3574,3592,0.9988,0.9918,1.0050
clang++,startup,-O1,hardening_baseline,50,1.206,1.204,1.211,3580,3572,3596,0.9963,0.9901,1.0021
clang++,startup,-O1,lto,50,1.219,1.213,1.223,3586,3578,3616,1.0070,0.9988,1.0112
clang++,startup,-O1,msan,50,5.534,5.499,5.586,6476,6460,6536,4.5713,4.5329,4.6160
clang++,startup,-O1,no_pie,50,1.209,1.203,1.216,3580,3576,3598,0.9983,0.9906,1.0050
clang++,startup,-O1,no_plt,50,1.209,1.203,1.214,3588,3572,3600,0.9988,0.9910,1.0050
clang++,startup,-O1,no_stack_protector,50,1.209,1.205,1.213,3592,3576,3598,0.9983,0.9914,1.0033
clang++,startup,-O1,noexecstack,50,1.214,1.208,1.220,3588,3572,3602,1.0025,0.9950,1.0087
clang++,startup,-O1,pie,50,1.209,1.204,1.216,3572,3568,3582,0.9988,0.9910,1.0046
clang++,startup,-O1,relro_full,50,1.209,1.206,1.215,3598,3580,3608,0.9988,0.9922,1.0045
clang++,startup,-O1,safe_stack,50,1.339,1.333,1.351,3660,3652,3666,1.1062,1.0975,1.1167
clang++,startup,-O1,stack_protector,50,1.208,1.204,1.212,3592,3576,3600,0.9979,0.9906,1.0021
clang++,startup,-O1,stack_protector_all,50,1.205,1.203,1.215,3596,3584,3632,0.9955,0.9893,1.0045
clang++,startup,-O1,stack_protector_strong,50,1.210,1.203,1.214,3576,3574,3590,0.9996,0.9918,1.0046
clang++,startup,-O1,ubsan,50,1.528,1.519,1.544,3960,3954,3972,1.2627,1.2521,1.2765
clang++,startup,-O2,asan,50,19.797,19.718,20.381,7648,7620,7684,16.3413,16.2677,16.8264
clang++,startup,-O2,baseline,50,1.212,1.205,1.214,3578,3572,3600,,,
clang++,startup,-O2,execstack,50,1.210,1.207,1.214,3582,3576,3596,0.9988,0.9951,1.0050
clang++,startup,-O2,fortify1,50,1.210,1.208,1.216,3584,3572,3616,0.9988,0.9959,1.0058
clang++,startup,-O2,fortify2,50,1.210,1.205,1.212,3582,3572,3590,0.9983,0.9942,1.0046
clang++,startup,-O2,fortify_off,50,1.210,1.204,1.214,3596,3578,3600,0.9983,0.9930,1.0050
clang++,startup,-O2,hardening_baseline,50,1.208,1.204,1.211,3576,3568,3596,0.9971,0.9930,1.0033
clang++,startup,-O2,lto,50,1.216,1.211,1.220,3582,3572,3592,1.0037,0.9992,1.0108
clang++,startup,-O2,msan,50,5.541,5.516,5.582,6488,6476,6540,4.5737,4.5511,4.6171
clang++,startup,-O2,no_pie,50,1.205,1.202,1.211,3592,3576,3600,0.9950,0.9909,1.0017
clang++,startup,-O2,no_plt,50,1.210,1.204,1.213,3584,3576,3596,0.9983,0.9934,1.0046
clang++,startup,-O2,no_stack_protector,50,1.206,1.203,1.211,3582,3576,3598,0.9955,0.9922,1.0025
clang++,startup,-O2,noexecstack,50,1.208,1.204,1.212,3592,3576,3614,0.9971,0.9934,1.0033
clang++,startup,-O2,pie,50,1.209,1.204,1.214,3594,3576,3618,0.9975,0.9934,1.0042
clang++,startup,-O2,relro_full,50,1.209,1.206,1.214,3592,3576,3600,0.9979,0.9946,1.0050
clang++,startup,-O2,safe_stack,50,1.345,1.336,1.361,3658,3640,3664,1.1102,1.1021,1.1265
clang++,startup,-O2,stack_protector,50,1.208,1.205,1.212,3580,3572,3596,0.9967,0.9934,1.0033
clang++,startup,-O2,stack_protector_all,50,1.206,1.204,1.211,3588,3572,3600,0.9959,0.9934,1.0021
clang++,startup,-O2,stack_protector_strong,50,1.205,1.203,1.213,3584,3578,3598,0.9950,0.9918,1.0045
clang++,startup,-O2,ubsan,50,1.520,1.505,1.530,3964,3956,3976,1.2546,1.2414,1.2651
clang++,startup,-O3,asan,50,19.675,19.334,19.810,7626,7608,7652,16.2936,16.0345,16.4381
clang++,startup,-O3,baseline,50,1.208,1.204,1.213,3584,3572,3592,,,
clang++,startup,-O3,execstack,50,1.208,1.204,1.212,3578,3570,3592,1.0000,0.9946,1.0050
clang++,startup,-O3,fortify1,50,1.208,1.203,1.210,3580,3572,3598,1.0000,0.9934,1.0046
clang++,startup,-O3,fortify2,50,1.209,1.205,1.214,3590,3572,3628,1.0008,0.9950,1.0066
clang++,startup,-O3,fortify_off,50,1.210,1.203,1.216,3582,3576,3596,1.0017,0.9942,1.0075
clang++,startup,-O3,hardening_baseline,50,1.208,1.204,1.215,3592,3580,3604,1.0004,0.9950,1.0075
clang++,startup,-O3,lto,50,1.219,1.213,1.223,3578,3568,3592,1.0095,1.0021,1.0141
clang++,startup,-O3,msan,50,5.521,5.499,5.594,6484,6456,6540,4.5727,4.5431,4.6357
clang++,startup,-O3,no_pie,50,1.208,1.204,1.213,3592,3572,3600,1.0000,0.9942,1.0062
clang++,startup,-O3,no_plt,50,1.207,1.202,1.213,3594,3576,3614,0.9996,0.9930,1.0050
clang++,startup,-O3,no_stack_protector,50,1.205,1.201,1.209,3580,3572,3596,0.9979,0.9917,1.0029
clang++,startup,-O3,noexecstack,50,1.206,1.201,1.210,3584,3572,3596,0.9988,0.9922,1.0033
clang++,startup,-O3,pie,50,1.207,1.205,1.210,3584,3578,3596,0.9996,0.9955,1.0042
clang++,startup,-O3,relro_full,50,1.205,1.201,1.210,3576,3572,3590,0.9983,0.9922,1.0042
clang++,startup,-O3,safe_stack,50,1.346,1.341,1.363,3656,3640,3664,1.1147,1.1073,1.1308
clang++,startup,-O3,stack_protector,50,1.210,1.203,1.216,3584,3572,3606,1.0017,0.9942,1.0083
