compiler,program,opt,flag_id,n,time_ms_median,time_ms_ci95_lo,time_ms_ci95_hi,rss_kb_median,rss_kb_ci95_lo,rss_kb_ci95_hi,overhead_vs_baseline,overhead_ci95_lo,overhead_ci95_hi
rustc,final,-C opt-level=z,lto_thin,10,221.482,220.801,221.875,2140,2046,2148,0.9961,0.9095,1.0005
rustc,final,-C opt-level=z,no_pie,10,233.654,222.510,343.280,2094,2036,2176,1.0509,0.9510,1.3683
rustc,final,-C opt-level=z,noexecstack,10,221.682,221.404,222.636,2100,2064,2160,0.9970,0.9115,1.0022
rustc,final,-C opt-level=z,overflow_checks,10,217.977,216.324,218.981,2148,2054,2164,0.9804,0.9124,0.9860
rustc,final,-C opt-level=z,panic_abort,10,230.131,228.781,232.728,2108,2036,2162,1.0350,0.9483,1.0451
rustc,final,-C opt-level=z,pie,10,222.438,221.626,237.172,2126,2060,2156,1.0004,0.9306,1.0382
rustc,final,-C opt-level=z,relro_full,10,223.927,221.642,262.914,2152,2060,2172,1.0071,0.9378,1.1843
rustc,final,-C opt-level=z,stack_protector,10,316.298,314.862,319.383,2156,2072,2164,1.4225,1.3198,1.4339
rustc,final,-C opt-level=z,stack_protector_none,10,223.398,222.314,225.202,2112,2034,2160,1.0047,0.9166,1.0128
rustc,final,-C opt-level=z,stack_protector_strong,10,314.746,314.383,315.132,2160,2068,2166,1.4156,1.2947,1.4217
rustc,suma,-C opt-level=0,asan,10,3153.273,3142.192,3196.034,14768,12850,14828,1.2416,1.2319,1.2593
rustc,suma,-C opt-level=0,baseline,10,2539.724,2523.180,2555.446,5878,5776,5884,,,
rustc,suma,-C opt-level=0,debug_assertions,10,2529.884,2516.961,2547.455,5860,5768,5888,0.9961,0.9881,1.0058
rustc,suma,-C opt-level=0,execstack,10,2528.490,2508.597,2551.311,5806,5752,5892,0.9956,0.9847,1.0059
rustc,suma,-C opt-level=0,lsan,10,2656.424,2623.400,2687.614,10554,9514,10604,1.0460,1.0294,1.0602
rustc,suma,-C opt-level=0,lto,10,2538.923,2524.434,2550.962,5752,5640,5784,0.9997,0.9898,1.0076
rustc,suma,-C opt-level=0,lto_thin,10,2615.768,2598.848,2627.155,5880,5816,5902,1.0299,1.0214,1.0375
rustc,suma,-C opt-level=0,no_pie,10,2546.777,2517.801,2559.575,5776,5746,5860,1.0028,0.9889,1.0095
rustc,suma,-C opt-level=0,noexecstack,10,2527.266,2510.246,2548.038,5864,5738,5888,0.9951,0.9840,1.0060
rustc,suma,-C opt-level=0,overflow_checks,10,2517.236,2505.929,2538.946,5760,5728,5872,0.9911,0.9839,1.0016
rustc,suma,-C opt-level=0,panic_abort,10,2243.881,2222.352,2263.947,5864,5748,5892,0.8835,0.8717,0.8941
rustc,suma,-C opt-level=0,pie,10,2536.068,2517.426,2551.076,5820,5762,5888,0.9986,0.9900,1.0072
rustc,suma,-C opt-level=0,relro_full,10,2535.044,2511.187,2544.080,5756,5716,5834,0.9982,0.9874,1.0052
rustc,suma,-C opt-level=0,stack_protector,10,2700.935,2680.511,2722.519,5864,5768,5876,1.0635,1.0530,1.0741
rustc,suma,-C opt-level=0,stack_protector_none,10,2536.247,2513.825,2543.142,5766,5724,5830,0.9986,0.9872,1.0051
rustc,suma,-C opt-level=0,stack_protector_strong,10,2712.573,2699.576,2722.336,5788,5752,5884,1.0681,1.0599,1.0748
rustc,suma,-C opt-level=1,asan,10,270.680,270.526,271.201,12770,10768,12900,1.6418,1.6348,1.6452
rustc,suma,-C opt-level=1,baseline,10,164.865,164.757,165.617,5866,5738,5892,,,
rustc,suma,-C opt-level=1,debug_assertions,10,120.857,120.680,120.977,5758,5744,5824,0.7331,0.7293,0.7339
rustc,suma,-C opt-level=1,execstack,10,164.906,164.800,165.005,5856,5748,5892,1.0003,0.9953,1.0011
rustc,suma,-C opt-level=1,lsan,10,192.038,191.509,192.705,9376,8510,10604,1.1648,1.1590,1.1692
rustc,suma,-C opt-level=1,lto,10,81.347,81.217,81.463,5726,5576,5766,0.4934,0.4909,0.4941
rustc,suma,-C opt-level=1,lto_thin,10,164.880,164.797,165.310,5664,5620,5744,1.0001,0.9953,1.0022
rustc,suma,-C opt-level=1,no_pie,10,164.916,164.751,165.114,5812,5730,5868,1.0003,0.9955,1.0011
rustc,suma,-C opt-level=1,noexecstack,10,164.889,164.792,165.003,5780,5740,5856,1.0001,0.9951,1.0012
rustc,suma,-C opt-level=1,overflow_checks,10,120.729,120.572,121.634,5864,5804,5926,0.7323,0.7299,0.7379
rustc,suma,-C opt-level=1,panic_abort,10,164.928,164.851,164.996,5760,5700,5826,1.0004,0.9952,1.0012
rustc,suma,-C opt-level=1,pie,10,165.001,164.861,165.283,5758,5712,5884,1.0008,0.9964,1.0025
rustc,suma,-C opt-level=1,relro_full,10,165.036,164.959,165.286,5764,5716,5876,1.0010,0.9966,1.0022
