compiler,program,opt,flag_id,sec_flags,compile_cmd,compile_ok,compile_wall_s,compile_user_s,compile_sys_s,compile_max_rss_kb,size_bytes,size_stripped_bytes,relro,canary,nx,pie,fortified,fortifiable,sha256,compile_stderr_tail
rustc,final,-C opt-level=z,panic_abort,-C panic=abort,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C panic=abort -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__panic_abort,1,0.688,0.083,0.028,103036,4503464,349384,full,no,yes,yes,0,8,f9e5e838bbf97967b634fda9c4f9ab500cb518ddfd9a09fe627c7c2f82f23516,
rustc,final,-C opt-level=z,lto,-C lto,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C lto -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__lto,1,25.725,3.408,0.076,176804,2009688,294416,full,no,yes,yes,0,8,02b10eef164a303ea878d6d294400c96d49671ed21c011b3a49582f1a15068cf,
rustc,final,-C opt-level=z,lto_thin,-C lto=thin,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C lto=thin -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__lto_thin,1,22.189,4.24,0.103,169412,2166816,324424,full,no,yes,yes,0,8,6f2d2902224bbff60ab72e8dcf59e8eab975a1af58c6c06bae5a9fd18075c2d2,
rustc,final,-C opt-level=z,asan,-Z sanitizer=address,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -Z sanitizer=address -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__asan,1,1.638,0.101,0.041,105624,7127432,1323688,full,no,yes,yes,6,55,4b19c30075f1620d30490f5e158b70000cb8060d0d1b05931ef185c95da8aec0,
rustc,final,-C opt-level=z,msan,-Z sanitizer=memory,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -Z sanitizer=memory -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__msan,0,0.697,0.022,0.013,86384,0,0,,,,,,,,"sanitizer` flag modifies the ABI so Rust crates compiled with different values of this flag cannot be used together safely |   = note: `-Zsanitizer=memory` in this crate is incompatible with unset `-Zsanitizer` in dependency `panic_unwind` |   = help: unset `-Zsanitizer` in this crate or set `-Zsanitizer=memory` in `panic_unwind` |   = help: if you are sure this will not cause problems, you may use `-Cunsafe-allow-abi-mismatch=sanitizer` to silence this error |  | error: aborting due to 19 previous errors"
rustc,final,-C opt-level=z,lsan,-Z sanitizer=leak,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -Z sanitizer=leak -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__lsan,1,1.283,0.075,0.045,104984,5267440,600792,full,no,yes,yes,0,9,9cec56c50fbb354c6540b46c9966fb2f1ba625923d8fe8d283b6f6853996ba0d,
rustc,final,-C opt-level=z,relro_full,"-C link-arg=-Wl,-z,relro,-z,now","rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C link-arg=-Wl,-z,relro,-z,now -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__relro_full",1,1.179,0.084,0.027,103776,4510072,350568,full,no,yes,yes,0,8,cca4ceba917e14adb41412b9aa485318b25623d4c4f96954a8f936bb6321e4de,
rustc,final,-C opt-level=z,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -Z stack-protector=none -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__stack_protector_none,1,0.732,0.094,0.018,105352,4510072,350568,full,no,yes,yes,0,8,cca4ceba917e14adb41412b9aa485318b25623d4c4f96954a8f936bb6321e4de,
rustc,final,-C opt-level=z,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -Z stack-protector=basic -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__stack_protector,1,0.745,0.061,0.051,102728,4510312,350768,full,yes,yes,yes,0,8,ec746abf895b867fd9d4ace4848ad01450a18b89ca6135e7c6bdf7b97727a031,
rustc,final,-C opt-level=z,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -Z stack-protector=strong -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__stack_protector_strong,1,0.75,0.082,0.031,102960,4510312,350768,full,yes,yes,yes,0,8,ec746abf895b867fd9d4ace4848ad01450a18b89ca6135e7c6bdf7b97727a031,
rustc,final,-C opt-level=z,noexecstack,"-C link-arg=-Wl,-z,noexecstack","rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C link-arg=-Wl,-z,noexecstack -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__noexecstack",1,0.712,0.08,0.031,106688,4510072,350568,full,no,yes,yes,0,8,cca4ceba917e14adb41412b9aa485318b25623d4c4f96954a8f936bb6321e4de,
rustc,final,-C opt-level=z,execstack,"-C link-arg=-Wl,-z,execstack","rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C link-arg=-Wl,-z,execstack -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__execstack",1,0.782,0.076,0.036,103740,4510072,350568,full,no,no,yes,0,8,2b23ba69402171244eecef6d218a7cc06da46227096f6a8c3b4a8185105eb6dd,
rustc,final,-C opt-level=z,pie,-C relocation-model=pic -C link-arg=-pie,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C relocation-model=pic -C link-arg=-pie -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__pie,1,0.742,0.077,0.034,102660,4510072,350568,full,no,yes,yes,0,8,cca4ceba917e14adb41412b9aa485318b25623d4c4f96954a8f936bb6321e4de,
rustc,final,-C opt-level=z,no_pie,-C relocation-model=static -C link-arg=-no-pie,rustc --edition 2021 /app/programs/final.rs -C opt-level=z -C relocation-model=static -C link-arg=-no-pie -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__no_pie,1,0.742,0.079,0.029,106364,4495136,335624,full,no,yes,no,0,8,bd86a9b974f435ab8eda20c0942ec3aa6b802c5bbb849089b4846b4aff271bc7,
rustc,final,-C opt-level=z,hardening_baseline,"-Z stack-protector=strong -C link-arg=-Wl,-z,relro,-z,now","rustc --edition 2021 /app/programs/final.rs -C opt-level=z -Z stack-protector=strong -C link-arg=-Wl,-z,relro,-z,now -o results_csv/20260709-181237/bin/rustc__final__C_opt_level_z__hardening_baseline",1,0.759,0.067,0.045,104336,4510312,350768,full,yes,yes,yes,0,8,ec746abf895b867fd9d4ace4848ad01450a18b89ca6135e7c6bdf7b97727a031,
rustc,startup,-C opt-level=0,baseline,,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__baseline,1,0.624,0.052,0.032,82256,4509984,350232,full,no,yes,yes,0,8,3ca37bbe5ba18a1f5dc9c34b7d2e5088335947f4c3d1e61f6c485d633c44281b,
rustc,startup,-C opt-level=0,overflow_checks,-C overflow-checks=on,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C overflow-checks=on -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__overflow_checks,1,0.558,0.032,0.053,90408,4509984,350232,full,no,yes,yes,0,8,3ca37bbe5ba18a1f5dc9c34b7d2e5088335947f4c3d1e61f6c485d633c44281b,
rustc,startup,-C opt-level=0,debug_assertions,-C debug-assertions=on,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C debug-assertions=on -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__debug_assertions,1,0.552,0.061,0.023,85724,4509984,350232,full,no,yes,yes,0,8,3ca37bbe5ba18a1f5dc9c34b7d2e5088335947f4c3d1e61f6c485d633c44281b,
rustc,startup,-C opt-level=0,panic_abort,-C panic=abort,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C panic=abort -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__panic_abort,1,0.592,0.068,0.016,84916,4503304,349016,full,no,yes,yes,0,8,9a17118e0a99adf600e0bd1e98ee181205693db0fa658247270e54a7707e62d3,
rustc,startup,-C opt-level=0,lto,-C lto,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C lto -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__lto,1,12.669,1.682,0.12,243392,5110784,687664,full,no,yes,yes,0,8,3a973927831dff73f5841679ee4e71fbc24a0d21c1e31c36a7119fa78f02cac2,
rustc,startup,-C opt-level=0,lto_thin,-C lto=thin,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C lto=thin -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__lto_thin,1,5.193,1.033,0.083,163788,2681960,687240,full,no,yes,yes,0,8,2c5c957a51e1b2d34226bf0f8d9831e3eebffad0b8f4f450857d1b82d61ca84b,
rustc,startup,-C opt-level=0,asan,-Z sanitizer=address,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -Z sanitizer=address -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__asan,1,0.71,0.056,0.053,85296,7125264,1321560,full,no,yes,yes,6,55,327c21f51970735a73d713bfe243f944068f5e2ed3afcae60c36eccba1468727,
rustc,startup,-C opt-level=0,msan,-Z sanitizer=memory,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -Z sanitizer=memory -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__msan,0,0.235,0.011,0.019,73640,0,0,,,,,,,,"sanitizer` flag modifies the ABI so Rust crates compiled with different values of this flag cannot be used together safely |   = note: `-Zsanitizer=memory` in this crate is incompatible with unset `-Zsanitizer` in dependency `panic_unwind` |   = help: unset `-Zsanitizer` in this crate or set `-Zsanitizer=memory` in `panic_unwind` |   = help: if you are sure this will not cause problems, you may use `-Cunsafe-allow-abi-mismatch=sanitizer` to silence this error |  | error: aborting due to 19 previous errors"
rustc,startup,-C opt-level=0,lsan,-Z sanitizer=leak,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -Z sanitizer=leak -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__lsan,1,0.656,0.063,0.031,82476,5267336,600440,full,no,yes,yes,0,9,f25cba1e12cfb08deb9d024d3bc23972a4a8df5f738b4fc6baf84836eb234a54,
rustc,startup,-C opt-level=0,relro_full,"-C link-arg=-Wl,-z,relro,-z,now","rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C link-arg=-Wl,-z,relro,-z,now -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__relro_full",1,0.593,0.043,0.042,82672,4509984,350232,full,no,yes,yes,0,8,3ca37bbe5ba18a1f5dc9c34b7d2e5088335947f4c3d1e61f6c485d633c44281b,
rustc,startup,-C opt-level=0,stack_protector_none,-Z stack-protector=none,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -Z stack-protector=none -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__stack_protector_none,1,0.561,0.067,0.017,84136,4509984,350232,full,no,yes,yes,0,8,3ca37bbe5ba18a1f5dc9c34b7d2e5088335947f4c3d1e61f6c485d633c44281b,
rustc,startup,-C opt-level=0,stack_protector,-Z stack-protector=basic,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -Z stack-protector=basic -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__stack_protector,1,0.549,0.047,0.037,82000,4510256,350464,full,yes,yes,yes,0,8,61df34576cf446612b9df051a758a9a71321ab590faa2f074740702cb5eef544,
rustc,startup,-C opt-level=0,stack_protector_strong,-Z stack-protector=strong,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -Z stack-protector=strong -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__stack_protector_strong,1,0.527,0.047,0.039,82044,4510416,350624,full,yes,yes,yes,0,8,c1e3b77dff7c05df6224f1caec9dd0e0a8be2a29efbe90413bfebcf2f7579722,
rustc,startup,-C opt-level=0,noexecstack,"-C link-arg=-Wl,-z,noexecstack","rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C link-arg=-Wl,-z,noexecstack -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__noexecstack",1,0.563,0.053,0.032,82252,4509984,350232,full,no,yes,yes,0,8,3ca37bbe5ba18a1f5dc9c34b7d2e5088335947f4c3d1e61f6c485d633c44281b,
rustc,startup,-C opt-level=0,execstack,"-C link-arg=-Wl,-z,execstack","rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C link-arg=-Wl,-z,execstack -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__execstack",1,0.585,0.055,0.029,84124,4509984,350232,full,no,no,yes,0,8,32fc52bcc1a7de479f469e8fe4d5fabd6ddd237bf71b9512b208b8f38145bf8a,
rustc,startup,-C opt-level=0,pie,-C relocation-model=pic -C link-arg=-pie,rustc --edition 2021 /app/programs/startup.rs -C opt-level=0 -C relocation-model=pic -C link-arg=-pie -o results_csv/20260709-181237/bin/rustc__startup__C_opt_level_0__pie,1,0.485,0.047,0.037,83780,4509984,350232,full,no,yes,yes,0,8,3ca37bbe5ba18a1f5dc9c34b7d2e5088335947f4c3d1e61f6c485d633c44281b,
